Department,Revenue,Capital,Total_BE
Ministry of Agriculture and Farmers Welfare,137664.35,92.2,137756.55
1,127202.29,87.87,127290.16
2,10462.06,4.33,10466.39
Department of Atomic Energy,12071.46,11977.64,24049.1
3,12071.46,11977.64,24049.1
Ministry of AYUSH,3937.45,55.45,3992.9
4,3937.45,55.45,3992.9
Ministry of Chemicals and Fertilisers,161946.49,18.72,161965.21
5,192.07,1.98,194.05
6,156487.26,15.18,156502.44
7,5267.16,1.56,5268.72
Ministry of Civil Aviation,2330.31,70,2400.31
8,2330.31,70,2400.31
Ministry of Coal,499,2.2,501.2
9,499,2.2,501.2
Ministry of Commerce and Industry,12699.92,5746.13,18446.05
10,5246.99,54,5300.99
11,7452.93,5692.13,13145.06
Ministry of Communications,55362,52743.1,108105.1
12,26141.51,958.35,27099.86
13,29220.49,51784.75,81005.24
"Ministry of Consumer Affairs, Food and Public Distribution",215662.44,104.65,215767.09
14,4276.3,84.42,4360.72
15,211386.14,20.23,211406.37
Ministry of Cooperation,1184.68,1.61,1186.29
16,1184.68,1.61,1186.29
Ministry of Corporate Affairs,11444.86,116.33,11561.19
17,11444.86,116.33,11561.19
Ministry of Culture,3168.51,192.45,3360.96
18,3168.51,192.45,3360.96
Ministry of Defence,488822.65,192387.62,681210.27
19,16295.35,12387.62,28682.97
20,311732.3,0,311732.3
21,0,180000,180000
22,160795,0,160795
Ministry of Development  of North Eastern Region,1882.76,4032.24,5915
23,1882.76,4032.24,5915
Ministry of Earth Sciences,2770.78,879.03,3649.81
24,2770.78,879.03,3649.81
Ministry of Education,128638.98,11.07,128650.05
25,78571.3,0.8,78572.1
26,50067.68,10.27,50077.95
Ministry of Electronics and Information Technology,25583.11,443.14,26026.25
27,25583.11,443.14,26026.25
"Ministry of Environment, Forests and Climate Change",3276.82,136,3412.82
28,3276.82,136,3412.82
Ministry of External Affairs,19519.73,996.88,20516.61
29,19519.73,996.88,20516.61
Ministry of Finance,1717466.84,221534.42,1939001.26
30,2400.24,46613.63,49013.87
31,540.52,63.31,603.83
32,1620.01,68.13,1688.14
33,28.6,0.57,29.17
34,55.43,1.7,57.13
35,132235.12,609.24,132844.36
36,9473.29,1425.16,10898.45
37,40904.23,1984.6,42888.83
38,6238.41,172.61,6411.02
39,1276337.98,0,1276337.98
40,0,0,0
41,90186,0,90186
42,157447.01,170595.47,328042.48
"Ministry of Fisheries, Animal Husbandry and Dairying",6935.5,608.57,7544.07
43,2681.05,22.62,2703.67
44,4254.45,585.95,4840.4
Ministry of Food Processing Industries,4361.58,2.64,4364.22
45,4361.58,2.64,4364.22
Ministry of Health and Family Welfare,96232.86,3625.7,99858.56
46,92333.43,3624.44,95957.87
47,3899.43,1.26,3900.69
Ministry of Heavy Industries ,7178.23,502,7680.23
48,7178.23,502,7680.23
Ministry of Home Affairs,210799.27,22411.41,233210.68
49,4161.22,395.97,4557.19
50,765.72,258.58,1024.3
51,143811.87,16579.19,160391.06
52,5656.98,555.08,6212.06
53,5547.17,640.31,6187.48
54,1710,1070,2780
55,2450,2242.15,4692.15
56,1296.04,290.12,1586.16
57,968.01,380,1348.01
58,41000.07,0,41000.07
59,3432.19,0.01,3432.2
Ministry of Housing and Urban Affairs,59153.62,37623.38,96777
60,59153.62,37623.38,96777
Ministry of Information and Broadcasting,4314.59,43.79,4358.38
61,4314.59,43.79,4358.38
Ministry of Jal Shakti,98945.31,557.54,99502.85
62,24720.49,556.34,25276.83
63,74224.82,1.2,74226.02
Ministry of Labour and Employment,32606.92,39.27,32646.19
64,32606.92,39.27,32646.19
Ministry of Law and Justice,5600.78,249.59,5850.37
65,4807.22,191.02,4998.24
66,302.98,2,304.98
67,490.58,56.57,547.15
"Ministry of Micro, Small and Medium Enterprises",22452.42,715.73,23168.15
68,22452.42,715.73,23168.15
Ministry of Mines,2958.91,79.09,3038
69,2958.91,79.09,3038
Ministry of Minority Affairs,3346.28,3.72,3350
70,3346.28,3.72,3350
Ministry of New and Renewable Energy,26542.18,7.2,26549.38
71,26542.18,7.2,26549.38
Ministry of Panchayati Raj,1170.9,14.1,1185
72,1170.9,14.1,1185
Ministry of Parliamentary Affairs,59.9,6.66,66.56
73,59.9,6.66,66.56
"Ministry of Personnel, Public Grievances and Pensions",2459.14,249.39,2708.53
74,2408.69,247.77,2656.46
75,50.45,1.62,52.07
Ministry of Petroleum and Natural Gas,12700.77,6626.13,19326.9
76,12700.77,6626.13,19326.9
Ministry of Planning,972.35,33.71,1006.06
77,972.35,33.71,1006.06
"Ministry of Ports, Shipping and Waterways",1709.23,1761.35,3470.58
78,1709.23,1761.35,3470.58
Ministry of Power,21188.59,658.41,21847
79,21188.59,658.41,21847
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",1830.85,76.05,1906.9
80,125.63,16.2,141.83
81,878.1,24.9,903
82,400.89,13,413.89
83,12.11,0.31,12.42
84,414.12,21.64,435.76
Ministry of Railways,3445.18,252000,255445.18
85,3445.18,252000,255445.18
Ministry of Road Transport and Highways,15092.01,272241.15,287333.16
86,15092.01,272241.15,287333.16
Ministry of Rural Development,190400.28,5.25,190405.53
87,187750.29,4.24,187754.53
88,2649.99,1.01,2651
Ministry of Science and Technology,18515.86,20097.46,38613.32
89,8413.05,20095.85,28508.9
90,3446.64,0,3446.64
91,6656.17,1.61,6657.78
Ministry of Skill Development and Entrepreneurship,6017.04,83.06,6100.1
92,6017.04,83.06,6100.1
Ministry of Social Justice and Empowerment,14873.22,12.78,14886
93,13599.42,11.58,13611
94,1273.8,1.2,1275
Department of Space,7312.57,6103.63,13416.2
95,7312.57,6103.63,13416.2
Ministry of Statistics and Programme Implementation,5426.19,44.87,5471.06
96,5426.19,44.87,5471.06
Ministry of Steel,364.22,2997.78,3362
97,364.22,2997.78,3362
Ministry of Textiles,5252.89,19.11,5272
98,5252.89,19.11,5272
Ministry of Tourism,2534.93,6.13,2541.06
99,2534.93,6.13,2541.06
Ministry of Tribal Affairs,14894.08,31.73,14925.81
100,14894.08,31.73,14925.81
Ministry of Women and Child Development,26884.99,4.7,26889.69
101,26884.99,4.7,26889.69
Ministry of Youth Affairs and Sports,3788.49,5.81,3794.3
102,3788.49,5.81,3794.3
